# seed: 1783859816468666200
# N: 155.000
# minAmplitude: 0.3895470010902611
# maxAmplitude: 0.975344215603168
# minSigma: 14.000058843979076
# maxSigma: 17.99999347355918
# minX0: 2794.5799378411184
# maxX0: 2808.820516381733
# minAlpha: 1.4560239066796752
# maxAlpha: 1.655957151344219
# chi2 amplitude sigma x0 alpha
0.4666461 0.5724686 17.9094811 2800.1662054 1.4747907
0.4673403 0.5838328 15.4047334 2801.7065278 1.6228169
0.4677871 0.5974746 15.0646858 2802.1058047 1.5915676
0.4684853 0.6448823 16.4962386 2802.4944707 1.4873974
0.4689938 0.6557997 16.6745754 2802.4332530 1.5599640
0.4693177 0.6247446 15.2343128 2802.1935717 1.5539024
0.4699603 0.6967845 15.0123163 2801.9192257 1.5943026
0.4703581 0.5848668 17.0106224 2803.3618567 1.5248169
0.4707567 0.5507759 16.2921627 2802.6272001 1.5966219
0.4711244 0.6454911 16.1203233 2801.1495127 1.4896688
0.4718852 0.6123739 17.3959328 2799.9277907 1.4694230
0.4742073 0.5553607 17.9216772 2800.5811420 1.4705130
0.4762665 0.6146434 17.8267574 2801.1706280 1.5150368
0.4769318 0.6540308 17.1910482 2802.0528955 1.5162495
0.4780093 0.6247667 15.5377481 2801.2058383 1.5310250
0.4803716 0.6297810 14.8364110 2802.4603998 1.5972384
0.4804347 0.6183370 17.7902795 2800.4668831 1.4943495
0.4805703 0.6744489 16.2356730 2801.8904380 1.4945243
0.4821633 0.6955841 15.9195455 2801.6445115 1.5554037
0.4826084 0.6508876 16.7199023 2801.4020521 1.5680310
0.4829566 0.6350087 14.8193365 2801.3104159 1.6098207
0.4830352 0.6191198 16.2030435 2801.8752839 1.4909254
0.4834735 0.5741561 16.3651007 2803.3219981 1.5568635
0.4859692 0.5996187 15.5183346 2800.5620522 1.5688380
0.4888079 0.5394276 17.4976326 2801.7232259 1.5009328
0.4896335 0.6492948 15.6080855 2803.3074433 1.5969984
0.4925904 0.5485382 17.5861750 2800.5541630 1.5268164
0.4938626 0.5676780 15.6194031 2801.1637097 1.6069765
0.4940484 0.5366810 17.8388593 2801.8953511 1.5154452
0.4948197 0.6909714 15.5161681 2800.8661747 1.5655973
0.4969886 0.6785709 16.1871253 2802.2974279 1.5081922
0.4976248 0.5500593 17.7490158 2802.1152668 1.5554285
0.4991529 0.5554287 16.6790015 2800.4744595 1.5396956
0.4996811 0.6365821 17.9404747 2801.4933517 1.4700235
0.5008204 0.6507022 16.2008968 2800.1937433 1.5129468
0.5013658 0.6615902 15.4813744 2801.1744983 1.5271560
0.5030193 0.6228917 16.1627162 2800.0039330 1.5750304
0.5035728 0.6503613 16.2823148 2801.7558887 1.4792878
0.5036160 0.5785617 17.9738823 2800.0754055 1.4866222
0.5046893 0.6547588 16.4902856 2802.9675314 1.5103008
0.5049941 0.6287232 16.8653580 2803.3949065 1.5397011
0.5055766 0.6542629 16.9358853 2800.7726486 1.5352788
0.5056619 0.5608073 16.5165943 2803.2545976 1.5656152
0.5072530 0.6589549 15.2828894 2800.4452568 1.5798092
0.5086795 0.5453463 17.5874150 2802.6664885 1.5476090
0.5088359 0.5951531 16.9162347 2803.1615172 1.5857863
0.5094082 0.6169674 16.8448026 2801.7341171 1.5955068
0.5095612 0.5769155 16.5578719 2802.9413388 1.5187401
0.5109299 0.5994111 16.2239178 2800.9536777 1.4974502
0.5109408 0.6435109 15.7865819 2801.8042976 1.5075534
0.5131175 0.6138363 15.2879562 2803.1850826 1.5867538
0.5155197 0.6288024 17.2337306 2799.8914960 1.4775310
0.5162493 0.6068979 15.5253228 2802.8933614 1.5552232
0.5171077 0.5437457 17.2154250 2802.8005299 1.5652956
0.5182915 0.6898526 16.0595082 2802.4084557 1.5544614
0.5183425 0.5786316 17.9041479 2803.0490060 1.5095884
0.5206913 0.5645265 17.6611173 2802.9191182 1.5500690
0.5228219 0.5396180 17.1578283 2800.9715999 1.5692561
0.5230749 0.6134101 14.8942557 2801.3514019 1.5923091
0.5241659 0.6003961 17.7983119 2802.7246388 1.5287553
0.5244156 0.5514270 17.1913851 2800.3245881 1.5261129
0.5247119 0.6775833 14.7967808 2801.4810224 1.5738148
0.5251001 0.5580424 16.7763344 2801.1749309 1.4987244
0.5263570 0.6095697 15.0037726 2801.0810554 1.6107805
0.5297666 0.6219357 17.4361622 2802.6447023 1.5424982
0.5305981 0.6501604 17.6901163 2800.7403017 1.4586227
0.5307213 0.6142812 17.5667703 2803.1628185 1.4961279
0.5318038 0.5376745 17.9888983 2801.3592023 1.5251434
0.5335806 0.6321904 14.9105428 2801.4219992 1.6250649
0.5336650 0.6709766 16.4317821 2802.0358804 1.4814170
0.5338860 0.6917970 16.2900072 2801.6000450 1.5380600
