# seed: (numpy internal)
# N: 155
# minAmplitude: 0.3891415
# maxAmplitude: 0.9823132
# minSigma: 14.0007560
# maxSigma: 17.9985816
# minX0: 2794.6671558
# maxX0: 2808.8111477
# minAlpha: 1.4560285
# maxAlpha: 1.6559994
# chi2 amplitude sigma x0 alpha
0.4412656 0.5959655 17.6567110 2800.6687966 1.5315824
0.4417058 0.6794712 16.4829258 2801.8427366 1.5075706
0.4420769 0.5713945 15.4448125 2801.8981223 1.5946560
0.4424018 0.6333023 17.1122272 2800.1672632 1.4702710
0.4427964 0.5534438 16.4127824 2800.8096623 1.5795166
0.4429353 0.5607322 16.8679051 2802.4236856 1.5981468
0.4444223 0.5556270 16.6828842 2801.1956842 1.5172091
0.4450768 0.5480665 17.4258691 2800.8182591 1.5445383
0.4454838 0.5786340 16.5292333 2802.4554437 1.5086987
0.4455388 0.6181037 16.6263770 2800.0147331 1.5502722
0.4461795 0.6548601 16.1324429 2800.7237839 1.4996611
0.4477459 0.6559368 16.5614743 2802.9104475 1.5454233
0.4478359 0.5854788 17.2886449 2803.0542847 1.4965419
0.4492317 0.5912255 16.1641158 2802.2865271 1.5154689
0.4496477 0.6759224 15.5133665 2802.5556459 1.5445889
0.4502129 0.5893628 17.1664176 2802.5460064 1.4720368
0.4532756 0.6011024 15.6711421 2800.3538213 1.5791578
0.4586764 0.5723483 17.0827111 2802.8561092 1.5013052
0.4588481 0.5741801 17.7209884 2802.0919126 1.5550270
0.4589122 0.5706084 17.2483716 2802.7280033 1.5778242
0.4589949 0.6326631 15.5328504 2801.4586415 1.6279140
0.4594496 0.5985024 17.9350788 2802.7699584 1.4692956
0.4608015 0.5433983 16.8589388 2802.5901530 1.5513505
0.4610568 0.6149998 16.3169932 2803.0956238 1.6025776
0.4620806 0.6927807 15.5762640 2802.4562060 1.5566133
0.4623311 0.6422300 16.6071615 2800.7706474 1.4664006
0.4623630 0.5925078 15.2903209 2801.6370842 1.6231975
0.4671827 0.6752061 15.7228278 2801.4777820 1.5992629
0.4683774 0.6163781 17.7265599 2800.0900983 1.4702090
0.4705738 0.5915876 17.5256587 2800.1175142 1.5217062
0.4706770 0.6517903 16.0190307 2801.9223623 1.4981548
0.4718068 0.6162147 17.9570036 2802.5500982 1.4664884
0.4727045 0.6249312 17.7256487 2802.6369988 1.4753911
0.4731019 0.6250967 16.3848718 2800.0786357 1.5681385
0.4732585 0.5695738 15.6657859 2802.1710993 1.6190317
0.4744395 0.6937661 15.1594815 2801.1568620 1.5754719
0.4762822 0.6350342 16.6405787 2800.2777697 1.5592604
0.4783959 0.6317510 16.2797846 2801.6861139 1.6115172
0.4786484 0.6830647 15.9911348 2802.6465840 1.5411205
0.4791150 0.6579539 15.1311028 2802.2613154 1.6221432
0.4798434 0.6644146 15.1940869 2801.6669474 1.5447067
0.4802388 0.6037216 15.9447833 2801.8003674 1.6309755
0.4814442 0.5818391 15.3913635 2801.6409100 1.5706208
0.4826637 0.6050787 16.9448744 2803.4192780 1.5201494
0.4827921 0.6000137 16.6513094 2801.4914887 1.6102132
0.4840893 0.6407336 15.6399880 2800.2521920 1.5873829
0.4854783 0.5436087 16.4052601 2801.2702464 1.5917544
0.4855164 0.6394998 17.2427209 2800.6333276 1.5234680
0.4868623 0.6550411 16.7991273 2800.5401537 1.4653288
0.4874643 0.6407233 16.7113956 2801.5334616 1.5814610
0.4882448 0.5873768 16.7507437 2800.9019676 1.4744048
0.4897162 0.5691386 16.5556109 2801.9235216 1.6182895
0.4900649 0.5786521 17.4013665 2802.5376569 1.5750208
0.4901873 0.5889722 17.3095302 2803.2594277 1.5030529
0.4917434 0.6233998 16.2276243 2803.5330099 1.5845903
0.4930148 0.5644572 17.4430052 2803.1671587 1.5235245
0.4936390 0.6071804 17.9095538 2801.1372799 1.5178817
0.4949988 0.5617159 17.2340033 2800.6634173 1.5726102
0.4966972 0.6230176 17.5088056 2799.9630901 1.4576150
0.4977585 0.6732345 15.9215286 2800.7189573 1.5146205
0.4983886 0.6157125 16.8392196 2801.0771268 1.5899481
0.4989625 0.6410335 16.9520696 2802.6562953 1.5565649
0.5007856 0.6325579 17.9375948 2800.7608882 1.4677580
0.5009040 0.6737977 15.7661071 2801.0208648 1.5147706
0.5017142 0.5724420 17.7295500 2800.0324793 1.4983486
0.5026336 0.5654984 17.3242798 2800.5685855 1.5665587
0.5043168 0.7030035 14.9744915 2801.7371049 1.5804661
0.5061930 0.5590710 15.7413618 2802.3574402 1.5797286
0.5075538 0.6836061 15.8385637 2802.8626578 1.5635634
0.5094659 0.6943675 16.0780152 2801.2468888 1.5325796
0.5095690 0.6723573 15.8735224 2801.5009581 1.5036037
0.5098486 0.6654461 17.2581946 2801.6566224 1.4783008
