# seed: 1784055086560574239
# N: 155.000
# minAmplitude: 0.19294170643501568
# maxAmplitude: 0.3999961006444704
# minSigma: 17.639417991858277
# maxSigma: 19.99997739942267
# minX0: 2794.430233436969
# maxX0: 2813.1449767060876
# minAlpha: 1.4560060028808783
# maxAlpha: 1.6559824097062028
# chi2 amplitude sigma x0 alpha
20.5756589 0.3919516 19.7132145 2801.9763925 1.6208422
20.5775043 0.3636234 19.6287630 2803.3517755 1.4960059
20.5815171 0.3867320 19.7192960 2801.8338562 1.5661120
20.5820351 0.3535736 19.7203268 2804.4891359 1.5619806
20.5920691 0.3991163 19.9820625 2800.4061357 1.5470266
20.5924927 0.3637229 19.9680260 2801.1672509 1.6250619
20.5979139 0.3882419 19.8286259 2806.5616736 1.4753817
20.5979562 0.3833181 19.5941812 2804.6087399 1.5765732
20.6034112 0.3348591 19.8416956 2804.4246150 1.5799817
20.6064646 0.3689049 19.6571473 2803.7869689 1.6505192
20.6164351 0.3935743 19.6213872 2805.4698582 1.4780065
20.6220338 0.3707625 19.6244363 2803.0893830 1.5499464
20.6238809 0.3219294 19.9641142 2804.9983846 1.5474243
20.6250662 0.3603026 19.7844855 2801.9886599 1.5489128
20.6297354 0.3342324 19.9710306 2805.8223608 1.5671838
20.6358399 0.3321564 19.8720161 2802.8489177 1.5603774
20.6359251 0.3744474 19.7841708 2801.5355916 1.5364186
20.6399724 0.3651707 19.7672770 2802.3065505 1.6407137
20.6411032 0.3767434 19.6148540 2803.3580277 1.6210127
20.6434221 0.3166019 19.9545130 2803.4114846 1.5345048
20.6461428 0.3628444 19.6333888 2804.3869179 1.5055971
20.6547861 0.3777941 19.6302772 2802.4473309 1.5251982
20.6567491 0.3157315 19.9996450 2805.2078323 1.4631783
20.6635744 0.3987657 19.6600324 2805.8643608 1.4759995
20.6676678 0.3365317 19.7962090 2804.8238568 1.4592721
20.6777257 0.3627871 19.8425057 2806.1382304 1.5680539
20.6780100 0.3907322 19.9494124 2807.1586264 1.5674636
20.6790303 0.3771237 19.6435980 2804.9340076 1.6366511
20.6825679 0.3709270 19.7094801 2802.0457611 1.5387225
20.7003431 0.3561394 19.6621194 2803.1729126 1.5191409
20.7005163 0.3841348 19.7742250 2801.6445728 1.6329078
20.7016585 0.3860188 19.5320756 2802.8092457 1.4688690
20.7038192 0.3310965 19.8539009 2804.4762421 1.5795520
20.7066619 0.3698332 19.7265160 2801.6867873 1.4757410
20.7095676 0.3707726 19.6027333 2803.4307484 1.5726322
20.7208042 0.3862596 19.8927425 2806.9163042 1.5257762
20.7214439 0.3895935 19.6702342 2801.9340954 1.5730480
20.7228073 0.3402515 19.9322412 2806.0856530 1.4859155
20.7231453 0.3925542 19.9784302 2800.5169869 1.6082513
20.7259321 0.3917405 19.7683276 2806.4031481 1.5238517
20.7320909 0.3923187 19.5695374 2805.2036901 1.4864734
20.7373233 0.3307780 19.8482698 2804.3838621 1.5841852
20.7457512 0.3546274 19.7713801 2801.7960454 1.4693400
20.7470740 0.3977441 19.6166606 2805.4326344 1.6485171
20.7490528 0.3543103 19.9276033 2806.4534888 1.5595620
20.7506024 0.3765630 19.5360439 2803.3019721 1.4845155
20.7525851 0.3928036 19.9865850 2807.3891007 1.5780078
20.7630370 0.3187440 19.8912909 2803.6355762 1.5007537
20.7631466 0.3637882 19.8112300 2801.3763845 1.5000770
20.7634760 0.3502348 19.7440364 2802.4278687 1.5235352
