# seed: 1784141145525623654
# N: 139.000
# minAmplitude: 0.20998409573019
# maxAmplitude: 0.2830891016485938
# minSigma: 17.999883804266283
# maxSigma: 16.548371118237924
# minX0: 2799.7190904776185
# maxX0: 2802.9998577055535
# minAlpha: 1.456002397664135
# maxAlpha: 1.6559741770305978
# chi2 amplitude sigma x0 alpha
0.3825023 0.2554686 17.9202293 2801.9869220 1.4838507
0.3825419 0.2624680 17.8319216 2802.6176281 1.4577359
0.3825590 0.2467714 17.6484617 2802.2344763 1.4573292
0.3825784 0.2415595 17.9980803 2802.6617054 1.5957842
0.3825893 0.2556355 17.6575108 2802.4839270 1.4579999
0.3826158 0.2380707 17.7709390 2802.2843144 1.4760913
0.3826455 0.2472106 17.8361111 2801.8226383 1.4708165
0.3826630 0.2332262 17.9617732 2801.9816693 1.4765955
0.3826668 0.2433485 17.6172482 2802.9278928 1.4964682
0.3826745 0.2447608 17.9181617 2801.6775853 1.4781003
0.3826831 0.2352873 17.9975098 2801.6452041 1.4666363
0.3826878 0.2403497 17.9814435 2801.4960788 1.4664698
0.3827335 0.2598638 17.8584848 2802.6210215 1.5058689
0.3827431 0.2542242 17.9525782 2802.8069338 1.6022387
0.3827576 0.2603422 17.7637419 2802.7706008 1.4829520
0.3827893 0.2541523 17.7680570 2802.4910310 1.5070564
0.3828553 0.2532268 17.9069890 2802.8753567 1.5971489
0.3829061 0.2364307 17.8620046 2802.5661292 1.5185810
0.3829149 0.2482008 17.8542314 2801.8887465 1.4854453
0.3829237 0.2511658 17.8292744 2802.9053408 1.5777117
0.3829247 0.2560092 17.8235022 2802.9101335 1.5583579
0.3829500 0.2406069 17.9133879 2801.8777156 1.4936588
0.3829596 0.2402104 17.9165346 2802.5888587 1.5599430
0.3829813 0.2315726 17.9776345 2802.7215709 1.5272870
0.3829817 0.2386548 17.8310955 2802.3991996 1.5097985
0.3829887 0.2356673 17.9683391 2801.5949510 1.4569128
0.3830425 0.2512007 17.6698886 2802.8831679 1.5210376
0.3830426 0.2641429 17.9185431 2802.7385099 1.4809751
0.3830436 0.2589291 17.8110021 2802.5473649 1.4939096
0.3830594 0.2536792 17.7573267 2802.9439945 1.5499410
