# seed: 1784072509930166400
# N: 155.000
# minAmplitude: 0.39346551790654827
# maxAmplitude: 0.9799644172240405
# minSigma: 14.00159463688906
# maxSigma: 17.99982585777346
# minX0: 2794.9065034965315
# maxX0: 2808.6726248433984
# minAlpha: 1.456025085302605
# maxAlpha: 1.6559861236560194
# chi2 amplitude sigma x0 alpha
0.3566117 0.6185121 15.5092612 2802.9630471 1.6062549
0.3605211 0.6320067 14.8982545 2801.8365552 1.5925307
0.3635032 0.5946294 16.5232366 2803.2292970 1.5408480
0.3646383 0.5913541 16.4733971 2800.6259381 1.5085161
0.3656319 0.6703353 16.3098208 2801.3348182 1.5534131
0.3679589 0.6436206 16.8278840 2801.3943079 1.5550297
0.3693014 0.6216241 15.1307562 2802.4996166 1.5796212
0.3703432 0.5616917 17.8066063 2802.0083550 1.5328252
0.3725503 0.6351221 16.1416305 2800.7275337 1.5055300
0.3729274 0.6161772 17.7714721 2801.8237397 1.5034768
0.3763504 0.6354130 15.1400201 2802.1061209 1.5630052
0.3770986 0.6141374 17.1421106 2801.5265957 1.5649375
0.3772608 0.5534325 17.9326224 2801.1621226 1.4916326
0.3790168 0.5592065 16.7966360 2802.9130481 1.5578797
0.3827447 0.5993304 16.9553419 2802.3145084 1.5861631
0.3828963 0.6854924 15.9379411 2801.3175845 1.5450854
0.3829050 0.5426825 17.3004215 2802.0298973 1.5386136
0.3831451 0.6449819 16.4480316 2800.4905328 1.5557995
0.3834540 0.6831282 15.3562699 2801.7653994 1.5963018
0.3846807 0.6632196 15.8020180 2802.0237127 1.5199440
0.3859227 0.5932740 15.4364590 2801.8561951 1.6219192
0.3884805 0.6524936 14.8990296 2802.4600710 1.5924671
0.3895065 0.6149065 15.6525075 2800.7152897 1.5461849
0.3895356 0.5556548 17.4571625 2801.1519782 1.4845537
0.3915727 0.6342355 16.9876366 2801.2821535 1.5556240
0.3917210 0.6394741 16.4592015 2802.2999365 1.4897886
0.3922870 0.6150302 17.3310691 2802.9440916 1.5138043
0.3947610 0.6397964 16.1940971 2800.2000349 1.5490666
0.3979429 0.6579152 16.9978937 2801.4949041 1.5166839
0.4040123 0.6833213 15.0593632 2801.8300575 1.5663969
0.4044886 0.5609012 17.9980318 2802.2926831 1.5094665
0.4052003 0.5671220 17.6796779 2801.7079821 1.5528278
0.4056936 0.5673393 16.9574601 2802.3193042 1.4986953
0.4057509 0.6486213 15.5441181 2800.4346389 1.5694565
0.4058459 0.6222789 16.8527004 2802.8528539 1.5689966
0.4070995 0.6554312 16.7964248 2801.9530758 1.5466977
0.4098727 0.5767323 17.0424788 2802.4326096 1.5891817
0.4101719 0.6397313 16.4442101 2803.0272344 1.5194797
0.4109717 0.6373440 17.1495349 2800.2792638 1.4843067
0.4112376 0.6740620 16.4752736 2801.1508602 1.5299193
0.4116654 0.6412727 15.4120445 2802.8396414 1.6126801
0.4120194 0.5999131 16.1608579 2801.0481224 1.5080659
0.4137918 0.6590722 15.1239987 2802.8632714 1.5828047
0.4138384 0.6187482 16.3883410 2800.6640760 1.5934763
0.4149363 0.6587417 16.7732420 2802.5096596 1.5080260
0.4156647 0.6449125 15.7624989 2800.5359504 1.5934625
0.4157426 0.5468448 16.7408608 2801.8962926 1.5330615
0.4159792 0.6613300 16.2753472 2801.6428152 1.5810890
0.4181717 0.6413686 16.3270153 2802.3406518 1.4944922
0.4192809 0.5508890 17.0825771 2801.6297398 1.5039486
0.4232298 0.6401106 16.5092508 2802.1244775 1.5891470
