#Wavelenght Flux
   1695.653 1.8170246124e+00 
   1696.044 1.6443233490e+00 
   1696.434 1.9884119034e+00 
   1696.825 2.2003217697e+00 
   1697.215 1.9716367722e+00 
   1697.607 1.8152770996e+00 
   1697.997 1.9594318390e+00 
   1698.388 1.9295412064e+00 
   1698.779 1.8998054504e+00 
   1699.170 1.9655797958e+00 
   1699.562 1.9266901016e+00 
   1699.953 1.8097646713e+00 
   1700.345 1.8467685699e+00 
   1700.736 2.1193004608e+00 
   1701.127 1.7631952286e+00 
   1701.520 1.7323017120e+00 
   1701.911 1.6491514206e+00 
   1702.304 1.9593664169e+00 
   1702.695 1.8825548172e+00 
   1703.088 1.7365894318e+00 
   1703.480 1.9881284714e+00 
   1703.872 2.2261053085e+00 
   1704.264 1.7743244171e+00 
   1704.657 1.7208169937e+00 
   1705.050 1.9921094894e+00 
   1705.442 1.7589687347e+00 
   1705.835 1.8086515427e+00 
   1706.228 1.9909893036e+00 
   1706.621 2.0011545181e+00 
   1707.014 2.2229448318e+00 
   1707.406 2.0690120697e+00 
   1707.800 2.0852428436e+00 
   1708.193 1.8111318588e+00 
   1708.587 1.9797615051e+00 
   1708.980 2.1128805161e+00 
   1709.374 2.0391302109e+00 
   1709.767 2.0329822540e+00 
   1710.161 2.0032190323e+00 
   1710.555 1.9855028152e+00 
   1710.948 1.9612045288e+00 
   1711.343 1.9075883865e+00 
   1711.737 2.1185205460e+00 
   1712.131 2.3020061493e+00 
   1712.525 1.8799760818e+00 
   1712.919 2.0011972427e+00 
   1713.314 2.1131742477e+00 
   1713.708 2.2044401169e+00 
   1714.104 2.1318170547e+00 
   1714.498 2.0608793259e+00 
   1714.893 1.9238058090e+00 
   1715.288 1.7757932663e+00 
   1715.682 1.9055538177e+00 
   1716.078 1.6402948380e+00 
   1716.473 1.4731239319e+00 
   1716.869 1.8629016876e+00 
   1717.264 2.0130817413e+00 
   1717.660 1.7924596786e+00 
   1718.055 1.7608198166e+00 
   1718.450 1.5002389908e+00 
   1718.846 1.9352045059e+00 
   1719.242 1.4946832657e+00 
   1719.638 1.8546672821e+00 
   1720.034 1.8546546936e+00 
   1720.430 1.9698583603e+00 
   1720.826 1.7795343399e+00 
   1721.222 2.1162652969e+00 
   1721.619 2.1473081589e+00 
   1722.015 1.8238061905e+00 
   1722.412 1.8236152649e+00 
   1722.808 1.9649887085e+00 
   1723.206 1.9557765961e+00 
   1723.602 2.0182212830e+00 
   1723.998 1.9727722168e+00 
   1724.396 1.8525297165e+00 
   1724.793 2.2362855911e+00 
   1725.190 1.9398519516e+00 
   1725.587 1.9286996841e+00 
   1725.985 2.2224788666e+00 
   1726.382 1.9221786499e+00 
   1726.779 1.8991346359e+00 
   1727.178 2.3090843201e+00 
   1727.575 2.0541969299e+00 
   1727.973 1.6717676163e+00 
   1728.371 1.7632949829e+00 
   1728.769 2.0391225815e+00 
   1729.167 1.8363508224e+00 
   1729.565 1.6919202805e+00 
   1729.964 1.8839704514e+00 
   1730.362 1.8089696884e+00 
   1730.761 1.9846546173e+00 
   1731.159 1.8040098190e+00 
   1731.558 1.9094530106e+00 
   1731.956 1.6363784790e+00 
   1732.355 2.3897233963e+00 
   1732.754 1.9372550964e+00 
   1733.153 1.7925199509e+00 
   1733.553 1.8144771576e+00 
   1733.951 1.7539476395e+00 
   1734.351 2.0134244919e+00 
   1734.750 1.8083274841e+00 
   1735.150 1.8571468353e+00 
   1735.549 1.9576257706e+00 
   1735.949 1.9981348038e+00 
   1736.349 2.0641757965e+00 
   1736.748 1.7930669785e+00 
   1737.149 2.0481113434e+00 
   1737.549 1.7780473709e+00 
   1737.949 2.0114725113e+00 
   1738.349 1.8112459183e+00 
   1738.749 2.3246013641e+00 
   1739.150 2.2163677216e+00 
   1739.550 1.8351156235e+00 
   1739.951 2.0135944366e+00 
   1740.351 1.8701278687e+00 
   1740.753 1.7590065002e+00 
   1741.153 1.6480136871e+00 
   1741.554 1.7129167557e+00 
   1741.955 1.9939044952e+00 
   1742.356 1.8939296722e+00 
   1742.758 1.6949487686e+00 
   1743.159 1.9239620209e+00 
   1743.561 1.8563066483e+00 
